Try,Dimension,Time,L1_DCM,L2_DCM
27,2200,85.3604,17917685127,25558444705
28,2200,84.5288,17870131216,23115206816
29,2200,84.6211,17934644131,23099665499
30,2200,85.8303,17931776758,25699113377
1,2600,154.813,31541282418,60818852973
2,2600,153.375,31374348864,60143479984
3,2600,155.059,31522097267,61129782862
4,2600,154.705,31537241851,58679003213
5,2600,152.494,31274000449,60486336010
6,2600,154.004,31481405286,59367392645
7,2600,153.199,31491948925,60053481867
8,2600,152.42,31231109828,58324339665
9,2600,111.304,31512215719,57547426952
10,2600,104.919,31509940975,55860668258
11,2600,104.994,31525710061,56776115092
12,2600,103.526,31182447213,54009281769
13,2600,105.735,31545226583,57801368610
14,2600,104.361,31531624581,56544733675
15,2600,105,31554016205,56545627943
16,2600,104.134,31301842087,57500118195
17,2600,105.135,31525444978,56283500971
18,2600,104.716,31519208248,54656347434
19,2600,104.814,31530959763,56454972729
20,2600,105.499,31469356370,58556748796
21,2600,104.253,31502806024,54546005717
22,2600,104.195,31509889856,56996788124
23,2600,104.648,31519733625,56953379898
24,2600,104.531,31511646329,55855819834
25,2600,102.534,31063131417,56237076168
26,2600,105.549,31552196435,58677287109
27,2600,105.115,31526118052,57086759291
28,2600,105.089,31544118593,57936011040
29,2600,103.133,31158366387,54744574922
30,2600,106.771,31485467136,57864049565
1,3000,171.133,50737781946,106165918503
2,3000,170.424,50593220940,107914161388
3,3000,171.566,50726767192,108638919104
4,3000,171.205,50762813265,102093155031
5,3000,169.473,50492583314,106232868960
6,3000,170.331,50698491284,105459229088
7,3000,170.74,50749940412,109516054800
8,3000,170.735,50454077177,107632927290
9,3000,171.423,50771394466,104386233133
10,3000,170.668,50722775381,106182576015
11,3000,169.151,50595316394,106377712201
12,3000,170.5,50724625073,108840585636
13,3000,169.039,50681431991,104407814176
14,3000,171.65,50754965390,104736736917
15,3000,172.595,50696569947,107833737314
16,3000,170.885,50616558605,103782640219
17,3000,171.629,50754298217,108544533565
18,3000,171.678,50735375795,106239899396
19,3000,171.132,50548160962,103916678683
20,3000,171.704,50748937659,106772986106
21,3000,172.009,50701402714,106063036705
22,3000,170.228,50470874445,106784464348
23,3000,171.51,50725800518,107583073083
24,3000,170.803,50688576109,108087612697
25,3000,171.244,50601084301,107028543170
26,3000,170.722,50730224615,106035061384
27,3000,169.576,50648329592,101959420131
28,3000,170.36,50741508083,106974986087
29,3000,169.872,50710957647,103349033600
30,3000,169.944,50585283211,103399302560
