Alg,Dimension,Time,L1_DCM,L2_DCM
MultLine,4096,47.85,17663144256.1,17253111239.0
MultLine,6144,159.51,59563608568.3,58522765363.0
MultLine,8192,378.8,141067335297.5,141608360024.5
MultLine,10240,739.83,275440677796.2,277932875980.2

Alg,Dimension,Time,L1_DCM,L2_DCM,MFlops,Speedup,Efficiency
MultLineParallel_1,4096,44.15,883140596.7,2079207931.2,3147.98,1.08,0.09
MultLineParallel_1,6144,112.36,2718850254.3,5509156794.3,4157.85,1.41,0.12
MultLineParallel_1,8192,244.48,6671887827.4,13178967119.0,4671.95,1.55,0.13
MultLineParallel_1,10240,423.33,13611171625.3,25794697871.7,5120.38,1.75,0.14

Alg,Dimension,Time,MFlops,Speedup,Efficiency
MultLineParallel_2,4096,16.88,8260.46,2.83,0.23
MultLineParallel_2,6144,62.72,7506.45,2.54,0.21
MultLineParallel_2,8192,171.91,6477.72,2.20,0.18
MultLineParallel_2,10240,336.55,6436.75,2.20,0.18
